
PS C:\Users\alaaa> cd C:\Users\alaaa\OneDrive\Desktop\mqtt-lab\
PS C:\Users\alaaa\OneDrive\Desktop\mqtt-lab> python publishers/humidity_pub.py
C:\Users\alaaa\OneDrive\Desktop\mqtt-lab\publishers\humidity_pub.py:5: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
Published: Humidity: 39% | Student ID: 12114470
Published: Humidity: 41% | Student ID: 12114470
Published: Humidity: 75% | Student ID: 12114470
Published: Humidity: 58% | Student ID: 12114470
Published: Humidity: 52% | Student ID: 12114470
Published: Humidity: 34% | Student ID: 12114470
Published: Humidity: 32% | Student ID: 12114470
Published: Humidity: 75% | Student ID: 12114470
Published: Humidity: 81% | Student ID: 12114470
Published: Humidity: 70% | Student ID: 12114470
Published: Humidity: 57% | Student ID: 12114470
Published: Humidity: 33% | Student ID: 12114470
Published: Humidity: 33% | Student ID: 12114470
Published: Humidity: 74% | Student ID: 12114470
Published: Humidity: 71% | Student ID: 12114470
Published: Humidity: 53% | Student ID: 12114470
Published: Humidity: 56% | Student ID: 12114470
Published: Humidity: 71% | Student ID: 12114470
Published: Humidity: 69% | Student ID: 12114470
Published: Humidity: 43% | Student ID: 12114470
Published: Humidity: 38% | Student ID: 12114470
Published: Humidity: 36% | Student ID: 12114470
Published: Humidity: 83% | Student ID: 12114470
Published: Humidity: 50% | Student ID: 12114470
Published: Humidity: 59% | Student ID: 12114470
Published: Humidity: 55% | Student ID: 12114470
Published: Humidity: 64% | Student ID: 12114470
Published: Humidity: 31% | Student ID: 12114470
Published: Humidity: 90% | Student ID: 12114470
Published: Humidity: 52% | Student ID: 12114470
Published: Humidity: 89% | Student ID: 12114470
Published: Humidity: 32% | Student ID: 12114470
Published: Humidity: 34% | Student ID: 12114470
Published: Humidity: 60% | Student ID: 12114470
Published: Humidity: 63% | Student ID: 12114470
Published: Humidity: 79% | Student ID: 12114470
Published: Humidity: 72% | Student ID: 12114470
Published: Humidity: 43% | Student ID: 12114470
Published: Humidity: 63% | Student ID: 12114470
Published: Humidity: 45% | Student ID: 12114470
Published: Humidity: 78% | Student ID: 12114470
Published: Humidity: 86% | Student ID: 12114470
Published: Humidity: 89% | Student ID: 12114470
Published: Humidity: 82% | Student ID: 12114470
Published: Humidity: 44% | Student ID: 12114470
Published: Humidity: 65% | Student ID: 12114470
Published: Humidity: 46% | Student ID: 12114470
Published: Humidity: 46% | Student ID: 12114470
Published: Humidity: 71% | Student ID: 12114470
Published: Humidity: 50% | Student ID: 12114470
Published: Humidity: 76% | Student ID: 12114470
Published: Humidity: 76% | Student ID: 12114470
Published: Humidity: 62% | Student ID: 12114470
Published: Humidity: 40% | Student ID: 12114470
Published: Humidity: 65% | Student ID: 12114470
Published: Humidity: 52% | Student ID: 12114470
Published: Humidity: 85% | Student ID: 12114470
Published: Humidity: 69% | Student ID: 12114470
Published: Humidity: 61% | Student ID: 12114470
Published: Humidity: 62% | Student ID: 12114470
Published: Humidity: 36% | Student ID: 12114470
Published: Humidity: 73% | Student ID: 12114470
Published: Humidity: 66% | Student ID: 12114470
Published: Humidity: 86% | Student ID: 12114470
Published: Humidity: 34% | Student ID: 12114470
Published: Humidity: 30% | Student ID: 12114470
Published: Humidity: 46% | Student ID: 12114470
Published: Humidity: 70% | Student ID: 12114470
Published: Humidity: 57% | Student ID: 12114470
Published: Humidity: 35% | Student ID: 12114470
Published: Humidity: 88% | Student ID: 12114470
Published: Humidity: 57% | Student ID: 12114470
Published: Humidity: 67% | Student ID: 12114470
Published: Humidity: 89% | Student ID: 12114470
Published: Humidity: 32% | Student ID: 12114470
Published: Humidity: 51% | Student ID: 12114470
Published: Humidity: 50% | Student ID: 12114470
Published: Humidity: 60% | Student ID: 12114470
Published: Humidity: 83% | Student ID: 12114470
Published: Humidity: 88% | Student ID: 12114470
Published: Humidity: 61% | Student ID: 12114470
Published: Humidity: 51% | Student ID: 12114470
Published: Humidity: 90% | Student ID: 12114470
Published: Humidity: 60% | Student ID: 12114470
Published: Humidity: 84% | Student ID: 12114470
Published: Humidity: 62% | Student ID: 12114470
Published: Humidity: 80% | Student ID: 12114470
Published: Humidity: 37% | Student ID: 12114470
Published: Humidity: 54% | Student ID: 12114470
Published: Humidity: 32% | Student ID: 12114470
Published: Humidity: 41% | Student ID: 12114470
Published: Humidity: 69% | Student ID: 12114470
Published: Humidity: 67% | Student ID: 12114470
Published: Humidity: 33% | Student ID: 12114470
Published: Humidity: 87% | Student ID: 12114470
Published: Humidity: 89% | Student ID: 12114470
Published: Humidity: 39% | Student ID: 12114470
Published: Humidity: 66% | Student ID: 12114470
Published: Humidity: 50% | Student ID: 12114470
Published: Humidity: 78% | Student ID: 12114470
Published: Humidity: 78% | Student ID: 12114470
Published: Humidity: 66% | Student ID: 12114470
Published: Humidity: 82% | Student ID: 12114470
Published: Humidity: 46% | Student ID: 12114470
Published: Humidity: 82% | Student ID: 12114470
Published: Humidity: 70% | Student ID: 12114470
