
PS C:\Users\alaaa> cd C:\Users\alaaa\OneDrive\Desktop\mqtt-lab\
PS C:\Users\alaaa\OneDrive\Desktop\mqtt-lab> python publishers/people_pub.py
C:\Users\alaaa\OneDrive\Desktop\mqtt-lab\publishers\people_pub.py:5: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 3 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 2 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 8 | Student ID: 12114470
Published: People Count: 3 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 2 | Student ID: 12114470
Published: People Count: 4 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 8 | Student ID: 12114470
Published: People Count: 2 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 4 | Student ID: 12114470
Published: People Count: 8 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 0 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 2 | Student ID: 12114470
Published: People Count: 0 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 0 | Student ID: 12114470
Published: People Count: 0 | Student ID: 12114470
Published: People Count: 3 | Student ID: 12114470
Published: People Count: 8 | Student ID: 12114470
Published: People Count: 2 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 4 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 8 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 7 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 8 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 3 | Student ID: 12114470
Published: People Count: 7 | Student ID: 12114470
Published: People Count: 8 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 3 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 3 | Student ID: 12114470
Published: People Count: 0 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 8 | Student ID: 12114470
Published: People Count: 0 | Student ID: 12114470
Published: People Count: 3 | Student ID: 12114470
Published: People Count: 2 | Student ID: 12114470
Published: People Count: 8 | Student ID: 12114470
Published: People Count: 2 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 3 | Student ID: 12114470
Published: People Count: 4 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 8 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 4 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 4 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 10 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 1 | Student ID: 12114470
Published: People Count: 0 | Student ID: 12114470
Published: People Count: 3 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 0 | Student ID: 12114470
Published: People Count: 3 | Student ID: 12114470
Published: People Count: 9 | Student ID: 12114470
Published: People Count: 4 | Student ID: 12114470
Published: People Count: 4 | Student ID: 12114470
Published: People Count: 6 | Student ID: 12114470
Published: People Count: 5 | Student ID: 12114470
Published: People Count: 0 | Student ID: 12114470
