
PS C:\Users\alaaa> cd C:\Users\alaaa\OneDrive\Desktop\mqtt-lab\
PS C:\Users\alaaa\OneDrive\Desktop\mqtt-lab> python publishers/temp_pub.py
C:\Users\alaaa\OneDrive\Desktop\mqtt-lab\publishers\temp_pub.py:5: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
Published: Temperature: 35°C | Student ID: 12114470
Published: Temperature: 23°C | Student ID: 12114470
Published: Temperature: 22°C | Student ID: 12114470
Published: Temperature: 32°C | Student ID: 12114470
Published: Temperature: 30°C | Student ID: 12114470
Published: Temperature: 26°C | Student ID: 12114470
Published: Temperature: 22°C | Student ID: 12114470
Published: Temperature: 34°C | Student ID: 12114470
Published: Temperature: 35°C | Student ID: 12114470
Published: Temperature: 34°C | Student ID: 12114470
Published: Temperature: 27°C | Student ID: 12114470
Published: Temperature: 22°C | Student ID: 12114470
Published: Temperature: 31°C | Student ID: 12114470
Published: Temperature: 30°C | Student ID: 12114470
Published: Temperature: 20°C | Student ID: 12114470
Published: Temperature: 34°C | Student ID: 12114470
Published: Temperature: 35°C | Student ID: 12114470
Published: Temperature: 25°C | Student ID: 12114470
Published: Temperature: 26°C | Student ID: 12114470
Published: Temperature: 21°C | Student ID: 12114470
Published: Temperature: 27°C | Student ID: 12114470
Published: Temperature: 31°C | Student ID: 12114470
Published: Temperature: 21°C | Student ID: 12114470
Published: Temperature: 28°C | Student ID: 12114470
Published: Temperature: 25°C | Student ID: 12114470
Published: Temperature: 22°C | Student ID: 12114470
Published: Temperature: 24°C | Student ID: 12114470
Published: Temperature: 20°C | Student ID: 12114470
Published: Temperature: 34°C | Student ID: 12114470
Published: Temperature: 24°C | Student ID: 12114470
Published: Temperature: 24°C | Student ID: 12114470
Published: Temperature: 33°C | Student ID: 12114470
Published: Temperature: 22°C | Student ID: 12114470
Published: Temperature: 22°C | Student ID: 12114470
Published: Temperature: 27°C | Student ID: 12114470
Published: Temperature: 25°C | Student ID: 12114470
Published: Temperature: 28°C | Student ID: 12114470
Published: Temperature: 24°C | Student ID: 12114470
Published: Temperature: 20°C | Student ID: 12114470
Published: Temperature: 26°C | Student ID: 12114470
Published: Temperature: 33°C | Student ID: 12114470
Published: Temperature: 31°C | Student ID: 12114470
Published: Temperature: 29°C | Student ID: 12114470
Published: Temperature: 23°C | Student ID: 12114470
Published: Temperature: 20°C | Student ID: 12114470
Published: Temperature: 34°C | Student ID: 12114470
Published: Temperature: 30°C | Student ID: 12114470
Published: Temperature: 30°C | Student ID: 12114470
Published: Temperature: 22°C | Student ID: 12114470
Published: Temperature: 30°C | Student ID: 12114470
Published: Temperature: 25°C | Student ID: 12114470
Published: Temperature: 32°C | Student ID: 12114470
Published: Temperature: 33°C | Student ID: 12114470
Published: Temperature: 30°C | Student ID: 12114470
Published: Temperature: 26°C | Student ID: 12114470
Published: Temperature: 23°C | Student ID: 12114470
Published: Temperature: 34°C | Student ID: 12114470
Published: Temperature: 33°C | Student ID: 12114470
Published: Temperature: 23°C | Student ID: 12114470
Published: Temperature: 34°C | Student ID: 12114470
Published: Temperature: 26°C | Student ID: 12114470
Published: Temperature: 31°C | Student ID: 12114470
Published: Temperature: 20°C | Student ID: 12114470
Published: Temperature: 21°C | Student ID: 12114470
Published: Temperature: 28°C | Student ID: 12114470
Published: Temperature: 34°C | Student ID: 12114470
Published: Temperature: 35°C | Student ID: 12114470
Published: Temperature: 25°C | Student ID: 12114470
Published: Temperature: 22°C | Student ID: 12114470
Published: Temperature: 32°C | Student ID: 12114470
Published: Temperature: 28°C | Student ID: 12114470
Published: Temperature: 21°C | Student ID: 12114470
Published: Temperature: 23°C | Student ID: 12114470
Published: Temperature: 31°C | Student ID: 12114470
Published: Temperature: 25°C | Student ID: 12114470
Published: Temperature: 21°C | Student ID: 12114470
Published: Temperature: 30°C | Student ID: 12114470
Published: Temperature: 31°C | Student ID: 12114470
Published: Temperature: 23°C | Student ID: 12114470
Published: Temperature: 22°C | Student ID: 12114470
Published: Temperature: 24°C | Student ID: 12114470
Published: Temperature: 30°C | Student ID: 12114470
Published: Temperature: 29°C | Student ID: 12114470
Published: Temperature: 21°C | Student ID: 12114470
Published: Temperature: 25°C | Student ID: 12114470
Published: Temperature: 32°C | Student ID: 12114470
Published: Temperature: 33°C | Student ID: 12114470
Published: Temperature: 20°C | Student ID: 12114470
Published: Temperature: 26°C | Student ID: 12114470
Published: Temperature: 32°C | Student ID: 12114470
Published: Temperature: 21°C | Student ID: 12114470
Published: Temperature: 21°C | Student ID: 12114470
Published: Temperature: 33°C | Student ID: 12114470
Published: Temperature: 32°C | Student ID: 12114470
Published: Temperature: 25°C | Student ID: 12114470
Published: Temperature: 27°C | Student ID: 12114470
Published: Temperature: 33°C | Student ID: 12114470
Published: Temperature: 26°C | Student ID: 12114470
Published: Temperature: 26°C | Student ID: 12114470
Published: Temperature: 28°C | Student ID: 12114470
Published: Temperature: 28°C | Student ID: 12114470
Published: Temperature: 31°C | Student ID: 12114470
Published: Temperature: 31°C | Student ID: 12114470
Published: Temperature: 35°C | Student ID: 12114470
Published: Temperature: 25°C | Student ID: 12114470
Published: Temperature: 25°C | Student ID: 12114470
Published: Temperature: 34°C | Student ID: 12114470
Published: Temperature: 31°C | Student ID: 12114470
