
PS C:\Users\alaaa> cd C:\Users\alaaa\OneDrive\Desktop\mqtt-lab\
PS C:\Users\alaaa\OneDrive\Desktop\mqtt-lab> python subscribers/humidity_sub.py
C:\Users\alaaa\OneDrive\Desktop\mqtt-lab\subscribers\humidity_sub.py:6: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
Listening for humidity messages...
Received: lab/humidity Humidity: 39% | Student ID: 12114470
Received: lab/humidity Humidity: 41% | Student ID: 12114470
Received: lab/humidity Humidity: 75% | Student ID: 12114470
Received: lab/humidity Humidity: 58% | Student ID: 12114470
Received: lab/humidity Humidity: 52% | Student ID: 12114470
Received: lab/humidity Humidity: 34% | Student ID: 12114470
Received: lab/humidity Humidity: 32% | Student ID: 12114470
Received: lab/humidity Humidity: 75% | Student ID: 12114470
Received: lab/humidity Humidity: 81% | Student ID: 12114470
Received: lab/humidity Humidity: 70% | Student ID: 12114470
Received: lab/humidity Humidity: 57% | Student ID: 12114470
Received: lab/humidity Humidity: 33% | Student ID: 12114470
Received: lab/humidity Humidity: 33% | Student ID: 12114470
Received: lab/humidity Humidity: 74% | Student ID: 12114470
Received: lab/humidity Humidity: 71% | Student ID: 12114470
Received: lab/humidity Humidity: 53% | Student ID: 12114470
Received: lab/humidity Humidity: 56% | Student ID: 12114470
Received: lab/humidity Humidity: 71% | Student ID: 12114470
Received: lab/humidity Humidity: 69% | Student ID: 12114470
Received: lab/humidity Humidity: 43% | Student ID: 12114470
Received: lab/humidity Humidity: 38% | Student ID: 12114470
Received: lab/humidity Humidity: 36% | Student ID: 12114470
Received: lab/humidity Humidity: 83% | Student ID: 12114470
Received: lab/humidity Humidity: 50% | Student ID: 12114470
Received: lab/humidity Humidity: 59% | Student ID: 12114470
Received: lab/humidity Humidity: 55% | Student ID: 12114470
Received: lab/humidity Humidity: 64% | Student ID: 12114470
Received: lab/humidity Humidity: 31% | Student ID: 12114470
Received: lab/humidity Humidity: 90% | Student ID: 12114470
Received: lab/humidity Humidity: 52% | Student ID: 12114470
Received: lab/humidity Humidity: 89% | Student ID: 12114470
Received: lab/humidity Humidity: 32% | Student ID: 12114470
Received: lab/humidity Humidity: 34% | Student ID: 12114470
Received: lab/humidity Humidity: 60% | Student ID: 12114470
Received: lab/humidity Humidity: 63% | Student ID: 12114470
Received: lab/humidity Humidity: 79% | Student ID: 12114470
Received: lab/humidity Humidity: 72% | Student ID: 12114470
Received: lab/humidity Humidity: 43% | Student ID: 12114470
Received: lab/humidity Humidity: 63% | Student ID: 12114470
Received: lab/humidity Humidity: 45% | Student ID: 12114470
Received: lab/humidity Humidity: 78% | Student ID: 12114470
Received: lab/humidity Humidity: 86% | Student ID: 12114470
Received: lab/humidity Humidity: 89% | Student ID: 12114470
Received: lab/humidity Humidity: 82% | Student ID: 12114470
Received: lab/humidity Humidity: 44% | Student ID: 12114470
Received: lab/humidity Humidity: 65% | Student ID: 12114470
Received: lab/humidity Humidity: 46% | Student ID: 12114470
Received: lab/humidity Humidity: 46% | Student ID: 12114470
Received: lab/humidity Humidity: 71% | Student ID: 12114470
Received: lab/humidity Humidity: 50% | Student ID: 12114470
Received: lab/humidity Humidity: 76% | Student ID: 12114470
Received: lab/humidity Humidity: 76% | Student ID: 12114470
Received: lab/humidity Humidity: 62% | Student ID: 12114470
Received: lab/humidity Humidity: 40% | Student ID: 12114470
Received: lab/humidity Humidity: 65% | Student ID: 12114470
Received: lab/humidity Humidity: 52% | Student ID: 12114470
Received: lab/humidity Humidity: 85% | Student ID: 12114470
Received: lab/humidity Humidity: 69% | Student ID: 12114470
Received: lab/humidity Humidity: 61% | Student ID: 12114470
Received: lab/humidity Humidity: 62% | Student ID: 12114470
Received: lab/humidity Humidity: 36% | Student ID: 12114470
Received: lab/humidity Humidity: 73% | Student ID: 12114470
Received: lab/humidity Humidity: 66% | Student ID: 12114470
Received: lab/humidity Humidity: 86% | Student ID: 12114470
Received: lab/humidity Humidity: 34% | Student ID: 12114470
Received: lab/humidity Humidity: 30% | Student ID: 12114470
Received: lab/humidity Humidity: 46% | Student ID: 12114470
Received: lab/humidity Humidity: 70% | Student ID: 12114470
Received: lab/humidity Humidity: 57% | Student ID: 12114470
Received: lab/humidity Humidity: 35% | Student ID: 12114470
Received: lab/humidity Humidity: 88% | Student ID: 12114470
Received: lab/humidity Humidity: 57% | Student ID: 12114470
Received: lab/humidity Humidity: 67% | Student ID: 12114470
Received: lab/humidity Humidity: 89% | Student ID: 12114470
Received: lab/humidity Humidity: 32% | Student ID: 12114470
Received: lab/humidity Humidity: 51% | Student ID: 12114470
Received: lab/humidity Humidity: 50% | Student ID: 12114470
Received: lab/humidity Humidity: 60% | Student ID: 12114470
Received: lab/humidity Humidity: 83% | Student ID: 12114470
Received: lab/humidity Humidity: 88% | Student ID: 12114470
Received: lab/humidity Humidity: 61% | Student ID: 12114470
Received: lab/humidity Humidity: 51% | Student ID: 12114470
