
PS C:\Users\alaaa> cd C:\Users\alaaa\OneDrive\Desktop\mqtt-lab\
PS C:\Users\alaaa\OneDrive\Desktop\mqtt-lab> python subscribers/people_sub.py
C:\Users\alaaa\OneDrive\Desktop\mqtt-lab\subscribers\people_sub.py:6: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
Listening for people counter messages...
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 3 | Student ID: 12114470
Received: lab/people People Count: 9 | Student ID: 12114470
Received: lab/people People Count: 2 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 8 | Student ID: 12114470
Received: lab/people People Count: 3 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 10 | Student ID: 12114470
Received: lab/people People Count: 9 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
Received: lab/people People Count: 10 | Student ID: 12114470
Received: lab/people People Count: 2 | Student ID: 12114470
Received: lab/people People Count: 4 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 8 | Student ID: 12114470
Received: lab/people People Count: 2 | Student ID: 12114470
Received: lab/people People Count: 9 | Student ID: 12114470
Received: lab/people People Count: 10 | Student ID: 12114470
Received: lab/people People Count: 6 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 4 | Student ID: 12114470
Received: lab/people People Count: 8 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
Received: lab/people People Count: 6 | Student ID: 12114470
Received: lab/people People Count: 6 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
Received: lab/people People Count: 0 | Student ID: 12114470
Received: lab/people People Count: 9 | Student ID: 12114470
Received: lab/people People Count: 6 | Student ID: 12114470
Received: lab/people People Count: 2 | Student ID: 12114470
Received: lab/people People Count: 0 | Student ID: 12114470
Received: lab/people People Count: 10 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 0 | Student ID: 12114470
Received: lab/people People Count: 0 | Student ID: 12114470
Received: lab/people People Count: 3 | Student ID: 12114470
Received: lab/people People Count: 8 | Student ID: 12114470
Received: lab/people People Count: 2 | Student ID: 12114470
Received: lab/people People Count: 6 | Student ID: 12114470
Received: lab/people People Count: 4 | Student ID: 12114470
Received: lab/people People Count: 9 | Student ID: 12114470
Received: lab/people People Count: 8 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 7 | Student ID: 12114470
Received: lab/people People Count: 6 | Student ID: 12114470
Received: lab/people People Count: 8 | Student ID: 12114470
Received: lab/people People Count: 9 | Student ID: 12114470
Received: lab/people People Count: 3 | Student ID: 12114470
Received: lab/people People Count: 7 | Student ID: 12114470
Received: lab/people People Count: 8 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 3 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
Received: lab/people People Count: 6 | Student ID: 12114470
Received: lab/people People Count: 9 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
Received: lab/people People Count: 9 | Student ID: 12114470
Received: lab/people People Count: 10 | Student ID: 12114470
Received: lab/people People Count: 3 | Student ID: 12114470
Received: lab/people People Count: 0 | Student ID: 12114470
Received: lab/people People Count: 10 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
Received: lab/people People Count: 6 | Student ID: 12114470
Received: lab/people People Count: 8 | Student ID: 12114470
Received: lab/people People Count: 0 | Student ID: 12114470
Received: lab/people People Count: 3 | Student ID: 12114470
Received: lab/people People Count: 2 | Student ID: 12114470
Received: lab/people People Count: 8 | Student ID: 12114470
Received: lab/people People Count: 2 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
Received: lab/people People Count: 6 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 3 | Student ID: 12114470
Received: lab/people People Count: 4 | Student ID: 12114470
Received: lab/people People Count: 10 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 1 | Student ID: 12114470
Received: lab/people People Count: 10 | Student ID: 12114470
Received: lab/people People Count: 5 | Student ID: 12114470
